,0
AVERAGE,0.5230921781538116
STRIKE RATE,0.45684170852182115
% TEAM WICKET,-0.38663980694245803
WICKETS,-0.3670543949975382
ECONOMY RATE,0.3150076000375389
MAIDENS,-0.2522458015512459
RUNS,0.18118521570001472
5 WICKET HAUL,-0.15611822589773586
% LBW,0.08636735481969295
% STUMPED,-0.05892901883242215
% CAUGHT,0.03871755867097882
% BOWLED,-0.028377602806732453
OVERS,-0.012488196535017529
