,0
RUNS,0.3823172827806379
4s,0.3571261164915102
HIGH SCORE,0.33906614999187873
TEAM RUNS(%),0.3295371390295868
STRIKE RATE,0.31587848996710083
INNS,0.30077668812995073
NOT OUTS,0.2942445701110822
AVG,0.26883200463897927
6s,0.2598259572346772
GAMES,0.22256425528103582
CAUGHT,0.10344561376921857
LBW,0.09840391592892102
50s,0.09007587692079659
DUCKS,-0.06406835657207073
BOWLED,0.06018438685765392
RUN OUT,0.015895820472802736
STUMPED,0.010749182556364959
