Rank,Player,Club,OVERS,MAIDENS,RUNS,WICKETS,BEST BOWLING,5 WICKET HAUL,ECONOMY RATE,STRIKE RATE,AVERAGE,% BOWLED,% CAUGHT,% LBW,% STUMPED,% TEAM WICKET
167,Player_356,Club_14,25.0,1,118,6,2/5,0,4.72,25.0,19.67,33.33,66.67,0.0,0.0,8.82
168,Player_426,Club_27,25.0,2,129,6,2/11,0,5.16,25.0,21.5,50.0,50.0,0.0,0.0,12.5
169,Player_387,Club_31,26.0,1,120,6,1/5,0,4.62,26.0,20.0,83.33,16.67,0.0,0.0,11.76
170,Player_385,Club_38,26.0,5,90,6,2/7,0,3.46,26.0,15.0,83.33,16.67,0.0,0.0,11.32
171,Player_286,Club_32,27.0,2,111,6,2/4,0,4.11,27.0,18.5,83.33,16.67,0.0,0.0,6.98
172,Player_035,Club_22,27.0,4,100,6,2/1,0,3.7,27.0,16.67,50.0,33.33,0.0,16.67,7.32
173,Player_127,Club_34,28.0,0,180,6,2/9,0,6.43,28.0,30.0,66.67,33.33,0.0,0.0,6.38
174,Player_362,Club_34,29.0,8,83,6,2/0,0,2.86,29.0,13.83,83.33,16.67,0.0,0.0,6.59
175,Player_325,Club_42,29.2,1,151,6,1/4,0,5.15,29.33,25.17,50.0,50.0,0.0,0.0,8.11
176,Player_222,Club_33,30.0,1,103,6,4/5,0,3.43,30.0,17.17,100.0,0.0,0.0,0.0,9.38
177,Player_008,Club_34,31.0,5,124,6,1/2,0,4.0,31.0,20.67,33.33,50.0,0.0,16.67,6.06
178,Player_302,Club_14,33.0,1,155,6,2/9,0,4.7,33.0,25.83,66.67,33.33,0.0,0.0,6.74
179,Player_418,Club_48,7.0,2,15,5,3/2,0,2.14,8.4,3.0,80.0,20.0,0.0,0.0,20.83
180,Player_280,Club_36,7.2,0,35,5,2/14,0,4.77,8.8,7.0,60.0,40.0,0.0,0.0,13.16
181,Player_201,Club_44,7.3,0,33,5,4/3,0,4.4,9.0,6.6,100.0,0.0,0.0,0.0,15.15
182,Player_317,Club_22,8.3,1,21,5,2/3,0,2.47,10.2,4.2,80.0,20.0,0.0,0.0,20.83
183,Player_427,Club_04,8.4,2,37,5,4/6,0,4.27,10.4,7.4,80.0,20.0,0.0,0.0,20.83
184,Player_116,Club_21,9.4,1,41,5,2/10,0,4.24,11.6,8.2,40.0,60.0,0.0,0.0,16.13
185,Player_121,Club_33,10.4,1,49,5,2/2,0,4.59,12.8,9.8,40.0,40.0,0.0,20.0,11.36
186,Player_160,Club_33,12.0,1,46,5,2/4,0,3.83,14.4,9.2,60.0,40.0,0.0,0.0,12.82
187,Player_339,Club_08,13.0,1,74,5,3/4,0,5.69,15.6,14.8,80.0,20.0,0.0,0.0,7.14
188,Player_313,Club_36,13.0,1,53,5,2/4,0,4.08,15.6,10.6,20.0,20.0,0.0,0.0,16.13
189,Player_156,Club_08,13.1,1,49,5,3/7,0,3.72,15.8,9.8,40.0,60.0,0.0,0.0,8.33
190,Player_071,Club_10,14.0,1,79,5,2/5,0,5.64,16.8,15.8,20.0,40.0,0.0,0.0,13.16
191,Player_166,Club_23,14.0,0,51,5,3/2,0,3.64,16.8,10.2,20.0,80.0,0.0,0.0,12.82
192,Player_087,Club_48,14.0,2,52,5,3/6,0,3.71,16.8,10.4,40.0,40.0,0.0,20.0,8.93
193,Player_422,Club_10,16.0,0,91,5,1/6,0,5.69,19.2,18.2,80.0,20.0,0.0,0.0,10.2
194,Player_091,Club_19,16.0,3,46,5,1/1,0,2.88,19.2,9.2,40.0,60.0,0.0,0.0,6.94
195,Player_189,Club_18,17.0,2,53,5,2/6,0,3.12,20.4,10.6,100.0,0.0,0.0,0.0,15.63
196,Player_267,Club_38,17.2,0,85,5,2/3,0,4.9,20.8,17.0,100.0,0.0,0.0,0.0,10.0
197,Player_017,Club_48,18.0,4,40,5,2/4,0,2.22,21.6,8.0,40.0,60.0,0.0,0.0,8.06
198,Player_060,Club_38,18.0,1,76,5,2/12,0,4.22,21.6,15.2,40.0,60.0,0.0,0.0,11.9
199,Player_056,Club_44,18.0,0,94,5,2/2,0,5.22,21.6,18.8,80.0,0.0,0.0,0.0,6.49
200,Player_158,Club_06,18.0,0,74,5,2/7,0,4.11,21.6,14.8,60.0,40.0,0.0,0.0,7.25
201,Player_262,Club_43,18.0,4,52,5,2/2,0,2.89,21.6,10.4,80.0,0.0,20.0,0.0,8.93
202,Player_096,Club_07,18.0,1,76,5,2/0,0,4.22,21.6,15.2,60.0,40.0,0.0,0.0,8.47
203,Player_083,Club_31,19.0,0,111,5,1/8,0,5.84,22.8,22.2,40.0,20.0,40.0,0.0,9.62
204,Player_331,Club_46,19.2,3,93,5,2/6,0,4.81,23.2,18.6,40.0,60.0,0.0,0.0,7.58
205,Player_157,Club_38,19.2,0,99,5,2/2,0,5.12,23.2,19.8,0.0,100.0,0.0,0.0,10.42
206,Player_093,Club_49,20.0,3,106,5,2/1,0,5.3,24.0,21.2,60.0,20.0,20.0,0.0,8.62
207,Player_355,Club_47,20.0,3,98,5,2/7,0,4.9,24.0,19.6,20.0,80.0,0.0,0.0,6.94
208,Player_363,Club_10,20.1,3,65,5,2/9,0,3.22,24.2,13.0,40.0,20.0,40.0,0.0,9.62
209,Player_209,Club_43,21.0,1,102,5,2/5,0,4.86,25.2,20.4,80.0,20.0,0.0,0.0,10.42
210,Player_055,Club_11,21.4,2,93,5,1/1,0,4.29,26.0,18.6,80.0,0.0,20.0,0.0,7.35
211,Player_099,Club_27,21.5,0,96,5,4/9,0,4.4,26.2,19.2,80.0,20.0,0.0,0.0,10.42
212,Player_219,Club_08,22.0,3,112,5,3/12,0,5.09,26.4,22.4,40.0,40.0,20.0,0.0,8.62
213,Player_395,Club_29,22.0,1,129,5,1/4,0,5.86,26.4,25.8,40.0,60.0,0.0,0.0,7.25
214,Player_145,Club_37,23.0,1,64,5,1/3,0,2.78,27.6,12.8,80.0,20.0,0.0,0.0,7.14
215,Player_326,Club_22,24.0,2,130,5,2/13,0,5.42,28.8,26.0,40.0,20.0,20.0,0.0,6.94
216,Player_113,Club_37,25.0,4,91,5,2/5,0,3.64,30.0,18.2,60.0,40.0,0.0,0.0,6.76
217,Player_111,Club_36,26.2,0,151,5,2/6,0,5.73,31.6,30.2,80.0,20.0,0.0,0.0,7.58
218,Player_170,Club_43,30.0,1,216,5,2/11,0,7.2,36.0,43.2,60.0,40.0,0.0,0.0,8.93
219,Player_374,Club_10,5.0,2,15,4,3/13,0,3.0,7.5,3.75,50.0,50.0,0.0,0.0,28.57
220,Player_335,Club_35,7.0,0,35,4,2/4,0,5.0,10.5,8.75,50.0,50.0,0.0,0.0,20.0
221,Player_118,Club_33,9.0,0,32,4,2/4,0,3.56,13.5,8.0,75.0,25.0,0.0,0.0,12.5
222,Player_021,Club_19,10.0,1,56,4,1/5,0,5.6,15.0,14.0,25.0,75.0,0.0,0.0,11.76
223,Player_190,Club_26,10.3,0,54,4,2/3,0,5.14,15.75,13.5,75.0,25.0,0.0,0.0,18.18
224,Player_225,Club_12,11.0,0,64,4,2/9,0,5.82,16.5,16.0,75.0,25.0,0.0,0.0,9.3
225,Player_406,Club_39,11.0,1,54,4,2/5,0,4.91,16.5,13.5,50.0,50.0,0.0,0.0,11.11
226,Player_159,Club_21,12.0,0,53,4,2/9,0,4.42,18.0,13.25,75.0,25.0,0.0,0.0,10.53
227,Player_416,Club_38,12.0,0,79,4,1/5,0,6.58,18.0,19.75,25.0,75.0,0.0,0.0,16.0
228,Player_238,Club_15,12.0,3,42,4,3/0,0,3.5,18.0,10.5,75.0,0.0,0.0,0.0,14.29
229,Player_040,Club_20,12.0,0,95,4,3/12,0,7.92,18.0,23.75,50.0,50.0,0.0,0.0,20.0
230,Player_375,Club_48,12.3,4,37,4,2/14,0,2.96,18.75,9.25,75.0,25.0,0.0,0.0,11.11
231,Player_196,Club_23,13.0,1,63,4,2/6,0,4.85,19.5,15.75,50.0,50.0,0.0,0.0,12.12
232,Player_073,Club_35,13.0,4,39,4,2/2,0,3.0,19.5,9.75,100.0,0.0,0.0,0.0,7.55
233,Player_298,Club_24,13.5,1,70,4,3/15,0,5.06,20.75,17.5,75.0,25.0,0.0,0.0,10.26
234,Player_070,Club_08,14.0,2,71,4,1/2,0,5.07,21.0,17.75,75.0,25.0,0.0,0.0,9.3
235,Player_226,Club_42,14.5,0,80,4,2/9,0,5.39,22.25,20.0,75.0,25.0,0.0,0.0,9.52
236,Player_333,Club_21,15.0,0,64,4,2/6,0,4.27,22.5,16.0,25.0,75.0,0.0,0.0,7.84
237,Player_126,Club_29,16.0,2,48,4,1/2,0,3.0,24.0,12.0,50.0,50.0,0.0,0.0,7.55
238,Player_081,Club_10,16.5,1,91,4,3/0,0,5.41,25.25,22.75,50.0,50.0,0.0,0.0,8.51
239,Player_102,Club_42,17.0,1,111,4,1/2,0,6.53,25.5,27.75,75.0,25.0,0.0,0.0,17.39
240,Player_300,Club_01,17.0,1,67,4,1/3,0,3.94,25.5,16.75,75.0,25.0,0.0,0.0,6.9
241,Player_394,Club_38,17.0,0,57,4,3/5,0,3.35,25.5,14.25,75.0,25.0,0.0,0.0,10.26
242,Player_327,Club_08,17.0,0,67,4,2/4,0,3.94,25.5,16.75,75.0,25.0,0.0,0.0,9.09
243,Player_275,Club_30,18.0,0,115,4,2/4,0,6.39,27.0,28.75,50.0,50.0,0.0,0.0,10.0
244,Player_128,Club_17,18.0,1,85,4,2/1,0,4.72,27.0,21.25,25.0,50.0,0.0,0.0,12.9
