Rank,Player,Club,WICKET KEEPING CATCHES,STUMPINGS,TOTAL WICKET KEEPING WICKETS,FIELDING CATCHES,RUN OUTS,TOTAL FIELDING WICKETS,TOTAL CATCHES,TOTAL VICTIMS
111,Player_350,Club_45,1,1,2,0,1,1,1,3
112,Player_276,Club_06,0,0,0,3,0,3,3,3
113,Player_147,Club_12,0,0,0,2,1,3,2,3
114,Player_314,Club_15,1,1,2,1,0,1,2,3
115,Player_209,Club_43,0,0,0,2,1,3,2,3
116,Player_281,Club_13,0,0,0,3,0,3,3,3
117,Player_019,Club_03,1,0,1,2,0,2,3,3
118,Player_405,Club_14,0,0,0,2,1,3,2,3
119,Player_273,Club_48,0,0,0,2,1,3,2,3
120,Player_262,Club_43,0,0,0,1,2,3,1,3
121,Player_280,Club_36,1,0,1,1,1,2,2,3
122,Player_417,Club_08,1,0,1,1,1,2,2,3
123,Player_087,Club_48,0,0,0,2,1,3,2,3
124,Player_055,Club_11,0,0,0,3,0,3,3,3
125,Player_360,Club_40,0,0,0,2,1,3,2,3
126,Player_357,Club_27,0,0,0,2,1,3,2,3
127,Player_125,Club_35,0,0,0,2,1,3,2,3
128,Player_231,Club_39,0,0,0,3,0,3,3,3
129,Player_235,Club_42,0,0,0,2,1,3,2,3
130,Player_068,Club_24,0,0,0,2,1,3,2,3
131,Player_095,Club_47,0,0,0,3,0,3,3,3
132,Player_094,Club_13,0,0,0,2,1,3,2,3
133,Player_171,Club_45,0,0,0,2,1,3,2,3
134,Player_077,Club_49,0,0,0,2,1,3,2,3
135,Player_214,Club_10,0,0,0,2,1,3,2,3
