Rank,Player,Club,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE,4s,6s,DUCKS,BOWLED,CAUGHT,LBW,STUMPED,RUN OUT,DID NOT BAT(%),GAMES WON(%),GAMES LOST(%),GAMES DRAWN(%),TEAM RUNS(%)
146,Player_206,Club_08,14,14,1,96,24,7.38,0,0,63.58,16,1,4,8,3,1,0,1,0(0.00%),4(28.57%),10(71.43%),0(0.00%),8.16
147,Player_263,Club_32,12,11,4,94,33,13.43,0,0,61.76,12,1,1,2,3,0,0,2,1(8.33%),7(58.33%),3(25.00%),1(8.33%),9.23
148,Player_387,Club_31,10,10,2,94,30,11.75,0,0,65.28,18,0,1,5,3,0,0,0,0(0.00%),4(40.00%),6(60.00%),0(0.00%),8.72
149,Player_236,Club_18,10,10,3,92,21,13.14,0,0,37.55,11,0,2,4,3,0,0,0,0(0.00%),2(20.00%),8(80.00%),0(0.00%),13.24
150,Player_169,Club_03,6,6,2,92,30,23.0,0,0,89.04,6,0,2,1,3,0,0,0,0(0.00%),4(66.67%),2(33.33%),0(0.00%),15.23
151,Player_242,Club_46,9,9,1,92,29,11.5,0,0,85.44,10,3,1,2,2,2,0,2,0(0.00%),5(55.56%),4(44.44%),0(0.00%),10.42
152,Player_364,Club_14,13,13,2,91,33,8.27,0,0,67.91,10,2,2,7,3,0,1,0,0(0.00%),10(76.92%),3(23.08%),0(0.00%),5.68
153,Player_116,Club_21,7,7,2,91,33,18.2,0,0,83.49,16,0,3,3,2,0,0,0,0(0.00%),2(28.57%),5(71.43%),0(0.00%),13.46
154,Player_068,Club_24,9,9,2,90,18,12.86,0,0,82.57,12,0,1,4,3,0,0,0,0(0.00%),3(33.33%),6(66.67%),0(0.00%),15.33
155,Player_250,Club_37,16,13,5,89,24,11.13,0,0,56.33,9,0,2,3,5,0,0,0,3(18.75%),12(75.00%),4(25.00%),0(0.00%),5.58
156,Player_251,Club_12,12,8,3,89,27,17.8,0,0,111.25,16,0,0,3,2,0,0,0,4(33.33%),9(75.00%),3(25.00%),0(0.00%),6.54
157,Player_341,Club_08,9,9,3,87,33,14.5,0,0,93.55,14,1,3,5,1,0,0,0,0(0.00%),3(33.33%),6(66.67%),0(0.00%),11.39
