Rank_bat,Player,Club,GAMES_bat,INNS_bat,NOT OUTS_bat,RUNS_bat,HIGH SCORE_bat,AVG_bat,50s_bat,100s_bat,STRIKE RATE_bat,4s_bat,6s_bat,DUCKS_bat,BOWLED_bat,CAUGHT_bat,LBW_bat,STUMPED_bat,RUN OUT_bat,DID NOT BAT(%)_bat,GAMES WON(%)_bat,GAMES LOST(%)_bat,GAMES DRAWN(%)_bat,TEAM RUNS(%)_bat,Rank_bowl,OVERS_bowl,MAIDENS_bowl,RUNS_bowl,WICKETS_bowl,5 WICKET HAUL_bowl,ECONOMY RATE_bowl,STRIKE RATE_bowl,AVERAGE_bowl,% BOWLED_bowl,% CAUGHT_bowl,% LBW_bowl,% STUMPED_bowl,% TEAM WICKET_bowl,best_wkts_bowl,best_runs_bowl,Rank_field,WICKET KEEPING CATCHES_field,STUMPINGS_field,TOTAL WICKET KEEPING WICKETS_field,FIELDING CATCHES_field,RUN OUTS_field,TOTAL FIELDING WICKETS_field,TOTAL CATCHES_field,TOTAL VICTIMS_field,final_score_model,bat_score,bowl_score,field_score,allrounder_target
1.0,Player_421,Club_15,19.0,16.0,8.0,393.0,73.0,49.13,2.0,0.0,118.48,58.0,11.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.18,2.0,45.0,5.0,202.0,21.0,0.0,4.49,12.86,9.62,52.38,42.86,4.76,0.0,17.5,3.0,2.0,74.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.7257139215275928,1.0,0.95720025280182,0.43956922061445475,0.7989231578054249
2.0,Player_005,Club_14,17.0,16.0,10.0,369.0,36.0,61.5,0.0,0.0,137.69,43.0,12.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.62,102.0,30.0,3.0,147.0,8.0,0.0,4.9,22.5,18.38,50.0,50.0,0.0,0.0,8.51,3.0,13.0,7.0,0.0,0.0,0.0,9.0,2.0,11.0,9.0,11.0,0.7853956169268799,0.811504675687069,0.8409678730245695,0.8751423672404776,0.8425383053173721
3.0,Player_247,Club_29,13.0,13.0,9.0,339.0,33.0,84.75,0.0,0.0,152.36,60.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.22,162.0,23.0,5.0,83.0,6.0,0.0,3.61,23.0,13.83,83.33,16.67,0.0,0.0,8.96,2.0,2.0,13.0,1.0,0.0,1.0,8.0,1.0,9.0,9.0,10.0,0.7225159222559185,0.7621700141705093,0.6734164900026424,0.7961808053986353,0.743922436523929
15.0,Player_115,Club_37,10.0,9.0,8.0,266.0,32.0,266.0,0.0,0.0,136.41,45.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.45,160.0,22.0,5.0,57.0,6.0,0.0,2.59,22.0,9.5,50.0,50.0,0.0,0.0,9.23,2.0,10.0,26.0,0.0,0.0,0.0,6.0,1.0,7.0,6.0,7.0,0.6517747775197357,0.7618982235393695,0.6594311286249459,0.5696681635831162,0.6636658385824773
9.0,Player_149,Club_34,13.0,13.0,10.0,289.0,35.0,96.33,0.0,0.0,114.68,36.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.95,46.0,27.0,2.0,75.0,10.0,0.0,2.78,16.2,7.5,30.0,70.0,0.0,0.0,10.64,2.0,4.0,8.0,0.0,0.0,0.0,10.0,1.0,11.0,10.0,11.0,0.7204000124821441,0.7187523520048028,0.6125587044443949,0.8631111943967776,0.7314740836153252
19.0,Player_316,Club_24,10.0,10.0,8.0,245.0,32.0,122.5,0.0,0.0,155.06,38.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.52,9.0,22.0,3.0,95.0,14.0,0.0,4.32,9.43,6.79,57.14,35.71,0.0,0.0,25.93,4.0,11.0,10.0,0.0,0.0,0.0,9.0,1.0,10.0,9.0,10.0,0.7368830887313016,0.7108407210789832,0.7959500640789864,0.7878653218721867,0.764885369010052
4.0,Player_032,Club_14,19.0,17.0,9.0,327.0,33.0,40.88,0.0,0.0,102.36,47.0,2.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.64,13.0,38.0,3.0,138.0,14.0,0.0,3.63,16.29,9.86,50.0,50.0,0.0,0.0,11.29,3.0,5.0,55.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.6420567153246619,0.6920650793684893,0.7892357844050978,0.4252423479735202,0.6355144039157024
20.0,Player_186,Club_28,15.0,15.0,6.0,244.0,35.0,27.11,0.0,0.0,83.85,24.0,13.0,3.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,25.13,92.0,24.2,1.0,114.0,8.0,0.0,4.68,18.25,14.25,62.5,37.5,0.0,0.0,17.78,3.0,9.0,41.0,1.0,0.0,1.0,5.0,0.0,5.0,6.0,6.0,0.6295344308749734,0.6838606195653559,0.7567454446602528,0.4974930150975064,0.6460330264410383
14.0,Player_309,Club_22,14.0,14.0,7.0,270.0,33.0,38.57,0.0,0.0,132.35,40.0,7.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.97,287.0,16.2,3.0,56.0,3.0,0.0,3.43,32.67,18.67,66.67,33.33,0.0,0.0,5.45,2.0,16.0,34.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,6.0,0.6045866161025865,0.6549740978448201,0.7101382697226278,0.4724613767591648,0.6125245814422042
7.0,Player_253,Club_36,17.0,14.0,7.0,298.0,33.0,42.57,0.0,0.0,106.05,29.0,8.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.71,104.0,31.0,8.0,94.0,8.0,0.0,3.03,23.25,11.75,87.5,12.5,0.0,0.0,7.92,2.0,0.0,57.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.6061791926803388,0.6531926129322178,0.7170576185768038,0.4267504398304606,0.5990002237798274
