Rank_bat,Player,Club,GAMES_bat,INNS_bat,NOT OUTS_bat,RUNS_bat,HIGH SCORE_bat,AVG_bat,50s_bat,100s_bat,STRIKE RATE_bat,4s_bat,6s_bat,DUCKS_bat,BOWLED_bat,CAUGHT_bat,LBW_bat,STUMPED_bat,RUN OUT_bat,DID NOT BAT(%)_bat,GAMES WON(%)_bat,GAMES LOST(%)_bat,GAMES DRAWN(%)_bat,TEAM RUNS(%)_bat,Rank_bowl,OVERS_bowl,MAIDENS_bowl,RUNS_bowl,WICKETS_bowl,5 WICKET HAUL_bowl,ECONOMY RATE_bowl,STRIKE RATE_bowl,AVERAGE_bowl,% BOWLED_bowl,% CAUGHT_bowl,% LBW_bowl,% STUMPED_bowl,% TEAM WICKET_bowl,best_wkts_bowl,best_runs_bowl,Rank_field,WICKET KEEPING CATCHES_field,STUMPINGS_field,TOTAL WICKET KEEPING WICKETS_field,FIELDING CATCHES_field,RUN OUTS_field,TOTAL FIELDING WICKETS_field,TOTAL CATCHES_field,TOTAL VICTIMS_field,final_score_model,bat_score,bowl_score,field_score,allrounder_target
27.0,Player_117,Club_29,14.0,14.0,8.0,216.0,32.0,36.0,0.0,0.0,154.29,36.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84,105.0,31.2,5.0,145.0,8.0,0.0,4.63,23.5,18.13,100.0,0.0,0.0,0.0,8.79,3.0,11.0,30.0,0.0,0.0,0.0,6.0,1.0,7.0,6.0,7.0,0.659830847851454,0.6044257094295481,0.8529352617994088,0.5726843472969971,0.6766817728419846
16.0,Player_386,Club_07,11.0,10.0,7.0,264.0,33.0,88.0,0.0,0.0,100.43,45.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.69,138.0,8.0,2.0,21.0,6.0,0.0,2.63,8.0,3.5,83.33,16.67,0.0,0.0,40.0,3.0,1.0,6.0,6.0,4.0,10.0,1.0,1.0,2.0,7.0,12.0,0.6531545839467057,0.5999275758786039,0.5918876932360564,0.9312924272193038,0.7077025654446548
15.0,Player_115,Club_37,10.0,9.0,8.0,266.0,32.0,266.0,0.0,0.0,136.41,45.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.45,160.0,22.0,5.0,57.0,6.0,0.0,2.59,22.0,9.5,50.0,50.0,0.0,0.0,9.23,2.0,10.0,26.0,0.0,0.0,0.0,6.0,1.0,7.0,6.0,7.0,0.6517747775197357,0.7618982235393695,0.6594311286249459,0.5696681635831162,0.6636658385824773
4.0,Player_032,Club_14,19.0,17.0,9.0,327.0,33.0,40.88,0.0,0.0,102.36,47.0,2.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.64,13.0,38.0,3.0,138.0,14.0,0.0,3.63,16.29,9.86,50.0,50.0,0.0,0.0,11.29,3.0,5.0,55.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.6420567153246619,0.6920650793684893,0.7892357844050978,0.4252423479735202,0.6355144039157024
75.0,Player_013,Club_21,10.0,10.0,2.0,150.0,33.0,18.75,0.0,0.0,78.13,19.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38,245.0,19.0,2.0,62.0,4.0,0.0,3.26,28.5,15.5,50.0,25.0,0.0,0.0,8.51,2.0,8.0,9.0,1.0,0.0,1.0,9.0,1.0,10.0,10.0,11.0,0.6409812699192645,0.4101333606952584,0.6299725881154649,0.869918586066286,0.6366748449590031
69.0,Player_011,Club_46,10.0,10.0,4.0,156.0,33.0,26.0,0.0,0.0,100.0,19.0,6.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.81,100.0,29.0,5.0,101.0,8.0,0.0,3.48,21.75,12.63,87.5,12.5,0.0,0.0,10.96,2.0,9.0,16.0,0.0,0.0,0.0,8.0,1.0,9.0,8.0,9.0,0.6374559392203825,0.4724946332392132,0.7408684288606,0.7156356330614766,0.6429995650537633
20.0,Player_186,Club_28,15.0,15.0,6.0,244.0,35.0,27.11,0.0,0.0,83.85,24.0,13.0,3.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,25.13,92.0,24.2,1.0,114.0,8.0,0.0,4.68,18.25,14.25,62.5,37.5,0.0,0.0,17.78,3.0,9.0,41.0,1.0,0.0,1.0,5.0,0.0,5.0,6.0,6.0,0.6295344308749734,0.6838606195653559,0.7567454446602528,0.4974930150975064,0.6460330264410383
97.0,Player_003,Club_02,12.0,12.0,3.0,132.0,32.0,14.67,0.0,0.0,55.23,19.0,0.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.81,49.0,30.0,2.0,169.0,10.0,1.0,5.63,18.0,16.9,60.0,30.0,0.0,0.0,15.87,5.0,11.0,18.0,0.0,0.0,0.0,5.0,3.0,8.0,5.0,8.0,0.6292522094248671,0.38275988671431516,0.953338268940554,0.665960198081226,0.6673527845786985
5.0,Player_195,Club_43,14.0,14.0,7.0,325.0,33.0,46.43,0.0,0.0,95.59,49.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.83,32.0,36.0,4.0,128.0,11.0,0.0,3.56,19.64,11.64,54.55,36.36,0.0,0.0,21.15,2.0,3.0,68.0,0.0,0.0,0.0,4.0,1.0,5.0,4.0,5.0,0.6154159819588061,0.6522241899036075,0.7779320957867528,0.4478301638158035,0.6259954831687213
51.0,Player_203,Club_49,12.0,12.0,7.0,176.0,33.0,35.2,0.0,0.0,64.89,22.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.78,1.0,30.0,10.0,77.0,23.0,1.0,2.57,7.83,3.35,86.96,13.04,0.0,0.0,30.67,6.0,0.0,66.0,0.0,0.0,0.0,3.0,2.0,5.0,3.0,5.0,0.6113564782483597,0.5083123738102961,0.994053417316261,0.45910729073103307,0.6538243606191968
22.0,Player_137,Club_14,15.0,14.0,6.0,242.0,32.0,30.25,0.0,0.0,93.8,38.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.51,17.0,32.0,5.0,120.0,13.0,0.0,3.75,14.77,9.23,38.46,46.15,15.38,0.0,13.98,3.0,4.0,49.0,0.0,0.0,0.0,4.0,2.0,6.0,4.0,6.0,0.6098407501390094,0.5596467295218317,0.7835066182070938,0.5230424743285704,0.6220652740191653
7.0,Player_253,Club_36,17.0,14.0,7.0,298.0,33.0,42.57,0.0,0.0,106.05,29.0,8.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.71,104.0,31.0,8.0,94.0,8.0,0.0,3.03,23.25,11.75,87.5,12.5,0.0,0.0,7.92,2.0,0.0,57.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.6061791926803388,0.6531926129322178,0.7170576185768038,0.4267504398304606,0.5990002237798274
14.0,Player_309,Club_22,14.0,14.0,7.0,270.0,33.0,38.57,0.0,0.0,132.35,40.0,7.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.97,287.0,16.2,3.0,56.0,3.0,0.0,3.43,32.67,18.67,66.67,33.33,0.0,0.0,5.45,2.0,16.0,34.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,6.0,0.6045866161025865,0.6549740978448201,0.7101382697226278,0.4724613767591648,0.6125245814422042
53.0,Player_140,Club_16,10.0,9.0,4.0,172.0,32.0,34.4,0.0,0.0,147.37,19.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.78,58.0,23.0,4.0,60.0,9.0,0.0,2.61,15.33,6.67,66.67,33.33,0.0,0.0,11.69,3.0,7.0,23.0,0.0,0.0,0.0,7.0,1.0,8.0,7.0,8.0,0.6007389924944927,0.49496366231406536,0.6429782586445907,0.6441599901792369,0.5940339703792977
43.0,Player_418,Club_48,11.0,7.0,6.0,189.0,33.0,189.0,0.0,0.0,110.34,19.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,179.0,7.0,2.0,15.0,5.0,0.0,2.14,8.4,3.0,80.0,20.0,0.0,0.0,20.83,3.0,2.0,12.0,0.0,0.0,0.0,8.0,2.0,10.0,8.0,10.0,0.5947371012980976,0.5844861947092429,0.4999195167467237,0.8021586325012972,0.628854781319088
6.0,Player_301,Club_11,12.0,12.0,8.0,299.0,32.0,74.75,0.0,0.0,106.03,42.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.88,122.0,22.0,4.0,66.0,7.0,0.0,3.0,18.86,9.43,57.14,42.86,0.0,0.0,12.96,2.0,10.0,61.0,2.0,0.0,2.0,3.0,0.0,3.0,5.0,5.0,0.592979935495074,0.6485070397657376,0.665048736794076,0.44187331502641797,0.5851430305287438
74.0,Player_129,Club_39,11.0,8.0,5.0,151.0,32.0,50.33,0.0,0.0,97.42,18.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.88,34.0,20.0,2.0,80.0,10.0,0.0,4.0,12.0,8.0,50.0,40.0,10.0,0.0,15.87,3.0,10.0,19.0,0.0,0.0,0.0,7.0,1.0,8.0,7.0,8.0,0.592346921429251,0.4515382659718607,0.6821932139975919,0.641143806465356,0.5916250954782695
108.0,Player_086,Club_13,12.0,11.0,2.0,123.0,29.0,13.67,0.0,0.0,80.39,17.0,0.0,1.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.42,52.0,33.0,2.0,136.0,10.0,0.0,4.12,19.8,13.6,70.0,30.0,0.0,0.0,12.2,3.0,12.0,20.0,0.0,0.0,0.0,7.0,1.0,8.0,7.0,8.0,0.5910286028064025,0.35578583758041515,0.8041962093164797,0.6418978523938261,0.600626633096907
41.0,Player_302,Club_14,16.0,14.0,6.0,192.0,30.0,24.0,0.0,0.0,71.37,20.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.15,178.0,33.0,1.0,155.0,6.0,0.0,4.7,33.0,25.83,66.67,33.33,0.0,0.0,6.74,2.0,9.0,47.0,0.0,0.0,0.0,5.0,1.0,6.0,5.0,6.0,0.5849154355034349,0.4581897560837156,0.8297959840543943,0.5087491636994598,0.5989116346125232
11.0,Player_194,Club_16,14.0,13.0,7.0,280.0,33.0,46.67,0.0,0.0,81.85,39.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,17.52,60.0,23.0,4.0,84.0,9.0,0.0,3.65,15.33,9.33,44.44,33.33,0.0,0.0,10.98,2.0,1.0,36.0,0.0,1.0,1.0,2.0,3.0,5.0,2.0,6.0,0.5811880869177709,0.5860440382216253,0.606500739368299,0.515178917493554,0.5692412316944928
